Renorun SKU,Feb 4,Feb 11,Feb 18,Feb 25,Mar 4,Mar 11,Mar 18,Mar 25,Apr 1,Apr 8,Apr 15,Apr 22,Apr 29,May 6,May 13,May 20,May 27,Jun 3,Jun 10,Jun 17,Jun 24,Jul 1,Jul 8,Jul 15
1401000225,23200,37780,49212,49752,49752,64242,64242,87132,87883,98454,112000,114534,112846,107180,98761,92340,88397,82259,79636,74283,74283,66291,63054,60982
1401000226,17816,17496,21336,29528,29528,30338,42486,42461,43939,43459,53598,53021,51630,49671,48291,46816,46048,44157,43354,42840,42840,40792,39566,38928
1101000654,22726,20778,16159,8903,12269,10673,8980,18090,16555,33112,28397,39589,41192,34764,27471,22193,16883,29487,25231,29266,29266,16413,14453,43242
1401000176,6111,6068,12732,18792,18788,18777,25402,25278,25060,24609,25324,28711,28163,27205,26337,25331,24424,23290,22461,21479,21479,19544,18785,17898
1101000634,1879,1331,2394,2067,1985,1292,1052,807,169,0,0,0,9408,8006,15784,17384,16545,15952,15478,14569,14569,12355,11289,10448
1401000224,2271,2271,5511,7671,9831,10904,10904,11844,14354,14315,14193,16136,16034,16035,15540,15150,15070,14898,14432,14048,14048,12150,11986,11327
1000002653,378,378,378,378,378,358,358,352,352,352,640,752,752,752,752,752,752,742,12800,12800,12800,702,702,702
1401000180,5174,6142,6394,6630,7380,9393,13500,13484,13383,16566,16370,16108,15916,15334,14479,13901,13581,13218,12918,12151,12151,10584,10213,9504
1401000156,721,5286,7626,7626,7626,7610,7609,10760,10899,14346,15093,14727,14547,14222,13900,13438,12640,12265,11342,10712,10712,10016,9831,9752
1101000651,3856,2280,2240,3805,9371,9677,8961,7647,5785,4541,3871,9078,14354,12671,10715,8029,6252,13974,12663,10048,10048,6286,4826,11956
1401000155,2230,4360,7420,7420,7420,7419,7419,7328,7090,9494,11167,10969,10827,10576,10440,10039,9904,9746,9357,8914,8914,8485,8410,8093
1104000710,795,683,445,298,277,261,48,4650,11169,11038,10810,10439,10220,9871,9623,9294,8804,8279,7923,7756,7756,7108,6987,6910
1401000157,468,443,2063,5641,5623,5614,6514,7755,7732,7708,7582,8858,8590,8324,8114,8063,7877,7700,7383,7198,7198,6580,6570,6245
1104000713,736,654,614,594,530,530,522,3021,6856,6844,6742,6733,6664,6658,6624,6545,6473,6421,6389,6310,6310,6062,5916,5837
1101000698,1852,1845,1778,1755,1679,2070,2010,1870,1819,2923,2863,1008,1008,3017,3017,5369,3326,1290,1288,5280,5280,2856,2839,2830
1401000175,726,707,697,1270,1846,2433,2803,2795,2780,3115,3100,3084,3031,2913,2893,2779,2712,2613,7227,4762,4762,1872,1760,1601
1401000160,1432,1432,1432,2968,2968,4504,4504,4504,4504,4504,4504,4504,4504,4504,4434,4434,4430,4430,4485,4485,4485,4485,4476,5878
1401000220,1747,1747,3283,4819,4819,4819,4819,4779,4779,4779,4779,4779,4779,4679,4679,4679,4679,4669,4579,4429,4429,4299,4299,5811
1401000179,1322,3035,3035,3035,3033,3032,3410,3775,4275,4206,4878,5245,5264,5066,4962,4839,4729,4450,4321,4089,4089,3883,3750,3518
1401000154,751,755,2915,2915,2915,2740,2740,3615,4295,4255,3802,5572,5449,5278,5087,4863,4541,4365,4114,4069,4069,3835,3673,3483
1401000174,1925,1925,2248,3620,3597,4165,4144,4081,4846,4782,5338,5306,5274,5106,4823,4724,4466,4378,4146,4017,4017,3788,3612,3207
1000001552,1012,1012,1012,1012,1012,1012,1012,992,4492,4436,4316,4316,4302,4128,3990,3990,3950,3930,3930,3930,3930,3880,3880,3868
1000002010,300,300,300,300,300,300,300,275,275,275,260,260,260,260,259,245,233,233,3900,3900,3900,233,233,231
1401000173,160,160,1991,1991,1991,1961,1989,1961,4259,5795,5732,5489,5392,5241,5113,4783,4446,4316,4055,3806,3806,3424,3298,3232
1102000745,4351,4351,4344,4344,4256,4256,4095,4043,3987,3978,3948,3878,3878,3878,3854,3779,3777,3777,3776,3606,3606,3244,3171,3221
1101000638,1784,1272,1232,564,724,1176,996,68,1814,1499,1872,9334,9038,8053,7256,6096,5419,4558,3326,3598,3598,2007,1273,3705
1401000165,284,254,548,1809,1801,1800,1775,2779,3101,3005,3475,3407,3234,3110,2819,2720,2626,2376,3565,3440,3440,1413,1313,1720
1401000178,1237,1224,1334,1323,1902,3148,3240,3964,4069,4390,4306,4219,4193,3992,3889,3813,3691,3559,3419,3152,3152,2928,2729,2562
1101000650,3285,2542,1854,1149,2013,1359,2187,1161,993,1529,1388,1157,902,586,712,3566,3697,3171,3467,3039,3039,419,2155,2100
