Fulfil Customer Shipments Fulfil Customer Shipment Number,Fulfil Customer Shipments Create Time,Fulfil Customer Shipments Assigned Time,Fulfil Customer Shipments Picking Started Time,Fulfil Customer Shipments Picked Time,Fulfil Customer Shipments Weight,Fulfil Customer Shipments Shipped Time
CS116087,2022-07-22 9:36:45,2022-07-22 9:36:49,2022-07-22 9:53:42,2022-07-22 10:00:11,117.6,
CS116080,2022-07-22 9:19:06,2022-07-22 10:35:08,2022-07-22 10:35:19,2022-07-22 10:35:21,164,
CS116075,2022-07-22 8:59:39,2022-07-22 8:59:45,2022-07-22 9:52:07,2022-07-22 10:16:43,738,
CS116063,2022-07-22 8:17:01,2022-07-22 8:17:05,2022-07-22 8:49:13,2022-07-22 9:30:00,131.07,
CS116052,2022-07-22 7:43:46,2022-07-22 7:43:55,2022-07-22 10:04:16,2022-07-22 10:29:40,84,
CS116047,2022-07-22 7:36:32,2022-07-22 10:10:24,2022-07-22 10:10:31,2022-07-22 10:10:33,2.32,
CS116046,2022-07-22 7:36:11,2022-07-22 10:11:54,2022-07-22 10:11:59,2022-07-22 10:12:01,6.81,
CS116044,2022-07-22 7:34:08,2022-07-22 7:34:15,2022-07-22 10:04:59,2022-07-22 10:17:15,216.37,
CS116042,2022-07-22 7:27:24,2022-07-22 7:27:26,2022-07-22 10:04:25,2022-07-22 10:29:47,29.58,
CS116039,2022-07-22 7:17:14,2022-07-22 7:17:17,2022-07-22 8:56:48,2022-07-22 10:13:12,"2,970",
CS116038,2022-07-22 7:16:25,2022-07-22 7:16:26,2022-07-22 8:56:39,2022-07-22 10:13:20,"2,970",
CS116035,2022-07-22 6:44:19,2022-07-22 8:48:02,2022-07-22 8:48:07,2022-07-22 8:48:08,53.34,
CS116033,2022-07-22 6:35:45,2022-07-22 6:35:47,2022-07-22 7:34:02,2022-07-22 7:46:23,"3,696",
CS116030,2022-07-22 6:09:52,2022-07-22 7:59:59,2022-07-22 8:00:04,2022-07-22 8:00:05,15,
CS116029,2022-07-22 4:21:35,2022-07-22 4:21:45,2022-07-22 10:02:38,2022-07-22 10:25:34,"1,068",
CS116027,2022-07-21 23:55:56,2022-07-21 23:56:00,2022-07-22 9:43:19,2022-07-22 10:25:19,431.2,
CS116026,2022-07-21 23:24:47,2022-07-21 23:24:52,2022-07-22 9:15:21,2022-07-22 9:51:23,747.93,
CS116025,2022-07-21 22:45:41,2022-07-21 22:45:44,2022-07-22 9:31:12,2022-07-22 9:41:52,84,
CS116022,2022-07-21 21:57:27,2022-07-21 22:13:57,2022-07-22 7:21:16,2022-07-22 7:21:19,113.12,2022-07-22 9:16:21
CS116021,2022-07-21 21:56:00,2022-07-21 22:13:57,2022-07-22 6:17:07,2022-07-22 7:59:36,98.8,
CS116020,2022-07-21 21:49:45,2022-07-21 21:49:51,2022-07-22 9:34:51,2022-07-22 9:51:33,0,
CS116020,2022-07-21 21:49:45,2022-07-21 21:49:51,2022-07-22 9:34:51,2022-07-22 9:51:33,461.5,
CS116019,2022-07-21 21:46:37,2022-07-21 21:46:39,2022-07-22 9:31:36,2022-07-22 9:42:19,3.2,
CS116017,2022-07-21 21:26:03,2022-07-21 21:26:07,2022-07-22 9:31:20,2022-07-22 9:42:13,11.87,
CS116016,2022-07-21 20:58:05,2022-07-21 20:58:10,2022-07-22 9:34:02,2022-07-22 10:01:14,292,
CS116014,2022-07-21 20:00:58,2022-07-21 20:01:01,2022-07-22 9:13:10,2022-07-22 9:34:21,96,
CS116012,2022-07-21 19:31:44,2022-07-21 19:31:51,2022-07-21 19:33:18,2022-07-21 21:12:59,4,
CS116011,2022-07-21 19:23:49,2022-07-21 19:23:51,2022-07-22 9:52:36,2022-07-22 10:01:50,"1,387.90",
CS116009,2022-07-21 19:21:27,2022-07-21 19:21:30,2022-07-22 8:32:26,2022-07-22 8:57:16,595.5,
CS116006,2022-07-21 18:26:51,2022-07-21 18:26:58,2022-07-22 8:31:22,2022-07-22 9:08:28,750.72,
CS116005,2022-07-21 18:22:41,2022-07-21 18:33:57,2022-07-21 18:38:08,2022-07-22 7:57:19,26.7,
CS116003,2022-07-21 18:19:52,2022-07-21 18:19:57,2022-07-22 9:31:28,2022-07-22 9:42:07,3.2,
CS116002,2022-07-21 18:17:43,2022-07-21 18:17:45,2022-07-21 18:19:24,2022-07-21 21:10:26,1.46,2022-07-22 9:21:03
CS115998,2022-07-21 18:14:22,2022-07-21 18:14:29,2022-07-22 7:38:19,2022-07-22 8:30:56,"1,081.80",
CS115996,2022-07-21 18:08:02,2022-07-22 7:14:52,2022-07-22 7:14:58,2022-07-22 7:14:59,67.2,
CS115995,2022-07-21 18:07:53,2022-07-21 18:08:03,2022-07-22 7:48:46,2022-07-22 7:56:35,168,
CS115994,2022-07-21 18:05:57,2022-07-21 18:06:02,2022-07-21 19:27:12,2022-07-21 21:27:32,"3,647.77",2022-07-22 10:21:23
CS115993,2022-07-21 18:02:53,2022-07-21 18:02:55,2022-07-22 7:13:56,2022-07-22 7:22:02,0.57,
